Дата,T
01.01.2019 23:00,-16.3
01.01.2019 20:00,-17.7
01.01.2019 17:00,-18.1
01.01.2019 14:00,-15.9
01.01.2019 11:00,-17.9
01.01.2019 8:00,-18.8
01.01.2019 5:00,-17.2
01.01.2019 2:00,-16.4
31.12.2018 23:00,-18.4
31.12.2018 20:00,-17.2
31.12.2018 17:00,-14.8
31.12.2018 14:00,-11.2
31.12.2018 11:00,-12.7
31.12.2018 8:00,-14.0
31.12.2018 5:00,-14.6
31.12.2018 2:00,-13.5
30.12.2018 23:00,-11.0
30.12.2018 20:00,-11.5
30.12.2018 17:00,-12.8
30.12.2018 14:00,-10.2
30.12.2018 11:00,-9.4
30.12.2018 8:00,-7.9
30.12.2018 5:00,-8.5
30.12.2018 2:00,-8.4
29.12.2018 23:00,-8.2
29.12.2018 20:00,-6.9
29.12.2018 17:00,-4.5
29.12.2018 14:00,-4.1
29.12.2018 11:00,-6.6
29.12.2018 8:00,-8.3
29.12.2018 5:00,-9.5
29.12.2018 2:00,-10.5
28.12.2018 23:00,-11.4
28.12.2018 20:00,-12.6
28.12.2018 17:00,-13.1
28.12.2018 14:00,-11.8
28.12.2018 11:00,-14.1
28.12.2018 8:00,-15.7
28.12.2018 5:00,-14.2
28.12.2018 2:00,-13.3
27.12.2018 23:00,-14.9
27.12.2018 20:00,-15.4
27.12.2018 17:00,-16.2
27.12.2018 14:00,-14.1
27.12.2018 11:00,-17.7
27.12.2018 8:00,-20.7
27.12.2018 5:00,-27.1
27.12.2018 2:00,-26.7
26.12.2018 23:00,-26.5
26.12.2018 20:00,-25.8
26.12.2018 17:00,-25.4
26.12.2018 14:00,-16.8
26.12.2018 11:00,-20.8
26.12.2018 8:00,-28.7
26.12.2018 5:00,-28.4
26.12.2018 2:00,-31.1
25.12.2018 23:00,-30.5
25.12.2018 20:00,-30.1
25.12.2018 17:00,-28.7
25.12.2018 14:00,-27.7
25.12.2018 11:00,-30.1
25.12.2018 8:00,-32.5
25.12.2018 5:00,-32.1
25.12.2018 2:00,-31.9
24.12.2018 23:00,-31.0
24.12.2018 20:00,-30.6
24.12.2018 17:00,-29.4
24.12.2018 14:00,-25.8
24.12.2018 11:00,-24.9
24.12.2018 8:00,-22.9
24.12.2018 5:00,-20.6
24.12.2018 2:00,-20.0
23.12.2018 23:00,-17.9
23.12.2018 20:00,-18.5
23.12.2018 17:00,-17.8
23.12.2018 14:00,-18.2
23.12.2018 11:00,-20.0
23.12.2018 8:00,-21.0
23.12.2018 5:00,-21.0
23.12.2018 2:00,-22.6
22.12.2018 23:00,-22.3
22.12.2018 20:00,-23.7
22.12.2018 17:00,-21.6
22.12.2018 14:00,-18.6
22.12.2018 11:00,-20.6
22.12.2018 8:00,-26.3
22.12.2018 5:00,-24.8
22.12.2018 2:00,-24.4
21.12.2018 23:00,-23.1
21.12.2018 20:00,-22.7
21.12.2018 17:00,-20.6
21.12.2018 14:00,-16.4
21.12.2018 11:00,-20.1
21.12.2018 8:00,-25.6
21.12.2018 5:00,-25.0
21.12.2018 2:00,-23.3
20.12.2018 23:00,-22.6
20.12.2018 20:00,-19.8
20.12.2018 17:00,-18.9
20.12.2018 14:00,-15.6
20.12.2018 11:00,-13.7
20.12.2018 8:00,-12.2
20.12.2018 5:00,-13.3
20.12.2018 2:00,-13.5
19.12.2018 23:00,-13.8
19.12.2018 20:00,-14.6
19.12.2018 17:00,-14.5
19.12.2018 14:00,-12.0
19.12.2018 11:00,-10.5
19.12.2018 8:00,-9.7
19.12.2018 5:00,-9.9
19.12.2018 2:00,-11.4
18.12.2018 23:00,-12.2
18.12.2018 20:00,-9.6
18.12.2018 17:00,-7.7
18.12.2018 14:00,-6.7
18.12.2018 11:00,-6.7
18.12.2018 8:00,-7.7
18.12.2018 5:00,-7.7
18.12.2018 2:00,-8.3
17.12.2018 23:00,-7.7
17.12.2018 20:00,-7.3
17.12.2018 17:00,-6.7
17.12.2018 14:00,-6.4
17.12.2018 11:00,-5.7
17.12.2018 8:00,-6.0
17.12.2018 5:00,-5.8
17.12.2018 2:00,-5.8
16.12.2018 23:00,-6.4
16.12.2018 20:00,-8.7
16.12.2018 17:00,-9.8
16.12.2018 14:00,-7.6
16.12.2018 11:00,-6.8
16.12.2018 8:00,-5.9
16.12.2018 5:00,-5.5
16.12.2018 2:00,-5.6
15.12.2018 23:00,-4.9
15.12.2018 20:00,-4.6
15.12.2018 17:00,-5.2
15.12.2018 14:00,-7.1
15.12.2018 11:00,-7.9
15.12.2018 8:00,-11.2
15.12.2018 5:00,-10.5
15.12.2018 2:00,-8.1
14.12.2018 23:00,-9.0
14.12.2018 20:00,-9.5
14.12.2018 17:00,-10.8
14.12.2018 14:00,-10.2
14.12.2018 11:00,-12.8
14.12.2018 8:00,-15.0
14.12.2018 5:00,-15.2
14.12.2018 2:00,-14.9
13.12.2018 23:00,-15.7
13.12.2018 20:00,-15.2
13.12.2018 17:00,-14.6
13.12.2018 14:00,-11.9
13.12.2018 11:00,-14.5
13.12.2018 8:00,-16.8
13.12.2018 5:00,-18.8
13.12.2018 2:00,-19.3
12.12.2018 23:00,-18.7
12.12.2018 20:00,-18.3
12.12.2018 17:00,-17.0
12.12.2018 14:00,-13.5
12.12.2018 11:00,-16.4
12.12.2018 8:00,-19.1
12.12.2018 5:00,-18.5
12.12.2018 2:00,-16.8
11.12.2018 23:00,-14.1
11.12.2018 20:00,-10.6
11.12.2018 17:00,-8.8
11.12.2018 14:00,-6.3
11.12.2018 11:00,-6.3
11.12.2018 8:00,-7.1
11.12.2018 5:00,-6.6
11.12.2018 2:00,-6.4
10.12.2018 23:00,-6.5
10.12.2018 20:00,-6.7
10.12.2018 17:00,-5.5
10.12.2018 14:00,-5.5
10.12.2018 11:00,-7.1
10.12.2018 8:00,-11.8
10.12.2018 5:00,-10.1
10.12.2018 2:00,-10.2
09.12.2018 23:00,-9.1
09.12.2018 20:00,-8.9
09.12.2018 17:00,-8.5
09.12.2018 14:00,-7.7
09.12.2018 11:00,-9.7
09.12.2018 8:00,-15.6
09.12.2018 5:00,-15.6
09.12.2018 2:00,-19.5
08.12.2018 23:00,-19.4
08.12.2018 20:00,-19.2
08.12.2018 17:00,-16.8
08.12.2018 14:00,-7.1
08.12.2018 11:00,-13.5
08.12.2018 8:00,-20.3
08.12.2018 5:00,-19.5
08.12.2018 2:00,-18.8
07.12.2018 23:00,-18.5
07.12.2018 20:00,-17.1
07.12.2018 17:00,-12.1
07.12.2018 14:00,-6.5
07.12.2018 11:00,-12.8
07.12.2018 8:00,-17.8
07.12.2018 5:00,-17.8
07.12.2018 2:00,-17.2
06.12.2018 23:00,-16.8
06.12.2018 20:00,-15.3
06.12.2018 17:00,-11.7
06.12.2018 14:00,-8.4
06.12.2018 11:00,-8.7
06.12.2018 8:00,-15.6
06.12.2018 5:00,-15.3
06.12.2018 2:00,-14.4
05.12.2018 23:00,-11.9
05.12.2018 20:00,-11.0
05.12.2018 17:00,-10.1
05.12.2018 14:00,-9.3
05.12.2018 11:00,-10.4
05.12.2018 8:00,-11.5
05.12.2018 5:00,-11.0
05.12.2018 2:00,-10.6
04.12.2018 23:00,-10.6
04.12.2018 20:00,-9.4
04.12.2018 17:00,-8.9
04.12.2018 14:00,-6.6
04.12.2018 11:00,-6.1
04.12.2018 8:00,-8.0
04.12.2018 5:00,-9.9
04.12.2018 2:00,-10.4
03.12.2018 23:00,-10.1
03.12.2018 20:00,-10.9
03.12.2018 17:00,-11.2
03.12.2018 14:00,-10.7
03.12.2018 11:00,-12.3
03.12.2018 8:00,-12.6
03.12.2018 5:00,-12.7
03.12.2018 2:00,-12.9
02.12.2018 23:00,-13.2
02.12.2018 20:00,-13.7
02.12.2018 17:00,-12.4
02.12.2018 14:00,-9.7
02.12.2018 11:00,-10.5
02.12.2018 8:00,-12.2
02.12.2018 5:00,-12.7
02.12.2018 2:00,-13.3
01.12.2018 23:00,-14.4
01.12.2018 20:00,-14.9
01.12.2018 17:00,-14.7
01.12.2018 14:00,-13.6
01.12.2018 11:00,-14.2
01.12.2018 8:00,-15.6
01.12.2018 5:00,-18.0
01.12.2018 2:00,-19.7
30.11.2018 23:00,-18.9
30.11.2018 20:00,-18.6
30.11.2018 17:00,-18.3
30.11.2018 14:00,-17.2
30.11.2018 11:00,-17.4
30.11.2018 8:00,-17.0
30.11.2018 5:00,-12.2
30.11.2018 2:00,-9.8
29.11.2018 23:00,-9.1
29.11.2018 20:00,-5.2
29.11.2018 17:00,0.6
29.11.2018 14:00,1.4
29.11.2018 11:00,0.5
29.11.2018 8:00,-1.3
29.11.2018 5:00,-2.8
29.11.2018 2:00,-3.7
28.11.2018 23:00,-4.4
28.11.2018 20:00,-4.3
28.11.2018 17:00,-3.5
28.11.2018 14:00,-4.5
28.11.2018 11:00,-4.8
28.11.2018 8:00,-4.7
28.11.2018 5:00,-3.3
28.11.2018 2:00,-4.8
27.11.2018 23:00,-5.6
27.11.2018 20:00,-7.7
27.11.2018 17:00,-9.4
27.11.2018 14:00,-8.3
27.11.2018 11:00,-10.3
27.11.2018 8:00,-13.6
27.11.2018 5:00,-14.8
27.11.2018 2:00,-14.6
26.11.2018 23:00,-13.6
26.11.2018 20:00,-13.1
26.11.2018 17:00,-10.6
26.11.2018 14:00,-8.6
26.11.2018 11:00,-9.7
26.11.2018 8:00,-8.7
26.11.2018 5:00,-7.5
26.11.2018 2:00,-8.3
25.11.2018 23:00,-8.8
25.11.2018 20:00,-10.4
25.11.2018 17:00,-9.9
25.11.2018 14:00,-10.0
25.11.2018 11:00,-10.2
25.11.2018 8:00,-11.2
25.11.2018 5:00,-11.6
25.11.2018 2:00,-13.5
24.11.2018 23:00,-15.3
24.11.2018 20:00,-13.5
24.11.2018 17:00,-8.3
24.11.2018 14:00,-5.8
24.11.2018 11:00,-5.3
24.11.2018 8:00,-4.6
24.11.2018 5:00,-4.7
24.11.2018 2:00,-3.6
23.11.2018 23:00,-3.5
23.11.2018 20:00,-4.8
23.11.2018 17:00,-5.7
23.11.2018 14:00,-5.4
23.11.2018 11:00,-4.5
23.11.2018 8:00,-6.1
23.11.2018 5:00,-5.7
23.11.2018 2:00,-4.7
22.11.2018 23:00,-3.5
22.11.2018 20:00,-3.5
22.11.2018 17:00,-0.3
22.11.2018 14:00,-0.4
22.11.2018 11:00,-1.4
22.11.2018 8:00,-2.3
22.11.2018 5:00,-2.5
22.11.2018 2:00,-2.4
21.11.2018 23:00,-2.6
21.11.2018 20:00,-3.9
21.11.2018 17:00,-4.1
21.11.2018 14:00,-1.4
21.11.2018 11:00,-3.0
21.11.2018 8:00,-5.2
21.11.2018 5:00,-6.5
21.11.2018 2:00,-6.6
20.11.2018 23:00,-5.7
20.11.2018 20:00,-5.4
20.11.2018 17:00,-5.0
20.11.2018 14:00,-4.6
20.11.2018 11:00,-5.4
20.11.2018 8:00,-6.3
20.11.2018 5:00,-3.9
20.11.2018 2:00,-3.8
19.11.2018 23:00,-4.3
19.11.2018 20:00,-4.3
19.11.2018 17:00,-4.4
19.11.2018 14:00,-4.5
19.11.2018 11:00,-3.7
19.11.2018 8:00,-5.1
19.11.2018 5:00,-5.9
19.11.2018 2:00,-6.2
18.11.2018 23:00,-6.3
18.11.2018 20:00,-7.1
18.11.2018 17:00,-4.3
18.11.2018 14:00,-3.5
18.11.2018 11:00,-3.4
18.11.2018 8:00,-5.0
18.11.2018 5:00,-5.6
18.11.2018 2:00,-6.3
17.11.2018 23:00,-7.4
17.11.2018 20:00,-8.9
17.11.2018 17:00,-10.1
17.11.2018 14:00,-8.3
17.11.2018 11:00,-11.4
17.11.2018 8:00,-14.1
17.11.2018 5:00,-13.6
17.11.2018 2:00,-12.7
16.11.2018 23:00,-11.6
16.11.2018 20:00,-10.9
16.11.2018 17:00,-8.3
16.11.2018 14:00,-6.1
16.11.2018 11:00,-9.2
16.11.2018 8:00,-14.6
16.11.2018 5:00,-14.0
16.11.2018 2:00,-13.2
15.11.2018 23:00,-11.3
15.11.2018 20:00,-10.4
15.11.2018 17:00,-7.9
15.11.2018 14:00,-4.9
15.11.2018 11:00,-9.4
15.11.2018 8:00,-13.5
15.11.2018 5:00,-13.1
15.11.2018 2:00,-10.1
14.11.2018 23:00,-9.9
14.11.2018 20:00,-8.6
14.11.2018 17:00,-5.9
14.11.2018 14:00,-4.3
14.11.2018 11:00,-5.5
14.11.2018 8:00,-7.3
14.11.2018 5:00,-7.5
14.11.2018 2:00,-9.5
13.11.2018 23:00,-9.1
13.11.2018 20:00,-7.2
13.11.2018 17:00,-7.4
13.11.2018 14:00,-6.9
13.11.2018 11:00,-8.5
13.11.2018 8:00,-10.4
13.11.2018 5:00,-10.9
13.11.2018 2:00,-12.8
12.11.2018 23:00,-11.5
12.11.2018 20:00,-11.2
12.11.2018 17:00,-10.3
12.11.2018 14:00,-7.8
12.11.2018 11:00,-11.6
12.11.2018 8:00,-18.0
12.11.2018 5:00,-16.8
12.11.2018 2:00,-14.8
11.11.2018 23:00,-13.5
11.11.2018 20:00,-12.1
11.11.2018 17:00,-12.5
11.11.2018 14:00,-12.1
11.11.2018 11:00,-14.7
11.11.2018 8:00,-20.9
11.11.2018 5:00,-19.9
11.11.2018 2:00,-19.2
10.11.2018 23:00,-18.8
10.11.2018 20:00,-15.8
10.11.2018 17:00,-14.2
10.11.2018 14:00,-13.2
10.11.2018 11:00,-12.5
10.11.2018 8:00,-18.4
10.11.2018 5:00,-18.6
10.11.2018 2:00,-18.1
09.11.2018 23:00,-16.4
09.11.2018 20:00,-15.5
09.11.2018 17:00,-13.7
09.11.2018 14:00,-10.5
09.11.2018 11:00,-9.0
09.11.2018 8:00,-7.2
09.11.2018 5:00,-4.4
09.11.2018 2:00,-0.2
08.11.2018 23:00,-0.1
08.11.2018 20:00,-0.3
08.11.2018 17:00,-0.3
08.11.2018 14:00,0.5
08.11.2018 11:00,0.0
08.11.2018 8:00,-1.4
08.11.2018 5:00,-1.5
08.11.2018 2:00,-1.4
07.11.2018 23:00,-1.6
07.11.2018 20:00,-1.2
07.11.2018 17:00,-0.9
07.11.2018 14:00,-0.5
07.11.2018 11:00,-0.4
07.11.2018 8:00,-0.4
07.11.2018 5:00,-0.9
07.11.2018 2:00,-1.0
06.11.2018 23:00,-0.9
06.11.2018 20:00,-1.1
06.11.2018 17:00,0.4
06.11.2018 14:00,1.0
06.11.2018 11:00,1.0
06.11.2018 8:00,0.5
06.11.2018 5:00,1.1
06.11.2018 2:00,1.1
05.11.2018 23:00,1.1
05.11.2018 20:00,1.7
05.11.2018 17:00,2.3
05.11.2018 14:00,2.6
05.11.2018 11:00,1.3
05.11.2018 8:00,0.7
05.11.2018 5:00,-1.1
05.11.2018 2:00,0.2
04.11.2018 23:00,0.6
04.11.2018 20:00,0.3
04.11.2018 17:00,0.5
04.11.2018 14:00,1.3
04.11.2018 11:00,1.0
04.11.2018 8:00,-0.4
04.11.2018 5:00,-0.5
04.11.2018 2:00,-0.3
03.11.2018 23:00,0.2
03.11.2018 20:00,0.5
03.11.2018 17:00,0.6
03.11.2018 14:00,0.5
03.11.2018 11:00,-0.3
03.11.2018 8:00,-1.6
03.11.2018 5:00,-1.7
03.11.2018 2:00,-1.4
02.11.2018 23:00,-2.0
02.11.2018 20:00,-2.4
02.11.2018 17:00,-3.2
02.11.2018 14:00,-2.5
02.11.2018 11:00,-2.7
02.11.2018 8:00,-4.1
02.11.2018 5:00,-4.4
02.11.2018 2:00,-4.2
01.11.2018 23:00,-4.6
01.11.2018 20:00,-4.7
01.11.2018 17:00,-3.7
01.11.2018 14:00,-3.1
01.11.2018 11:00,-4.2
01.11.2018 8:00,-7.2
01.11.2018 5:00,-9.1
01.11.2018 2:00,-8.7
31.10.2018 23:00,-6.7
31.10.2018 20:00,-6.5
31.10.2018 17:00,-5.2
31.10.2018 14:00,-3.4
31.10.2018 11:00,-3.6
31.10.2018 8:00,-4.8
31.10.2018 5:00,-5.2
31.10.2018 2:00,-5.1
30.10.2018 23:00,-4.6
30.10.2018 20:00,-3.1
30.10.2018 17:00,-1.3
30.10.2018 14:00,0.5
30.10.2018 11:00,-0.8
30.10.2018 8:00,2.9
30.10.2018 5:00,5.0
30.10.2018 2:00,4.0
29.10.2018 23:00,3.7
29.10.2018 20:00,3.5
29.10.2018 17:00,3.1
29.10.2018 14:00,2.5
29.10.2018 11:00,0.7
29.10.2018 8:00,-0.1
29.10.2018 5:00,0.6
29.10.2018 2:00,0.7
28.10.2018 23:00,0.9
28.10.2018 20:00,1.1
28.10.2018 17:00,2.1
28.10.2018 14:00,2.6
28.10.2018 11:00,1.7
28.10.2018 8:00,7.5
28.10.2018 5:00,12.2
28.10.2018 2:00,12.1
27.10.2018 23:00,12.7
27.10.2018 20:00,13.9
27.10.2018 17:00,12.7
27.10.2018 14:00,10.2
27.10.2018 11:00,10.7
27.10.2018 8:00,8.2
27.10.2018 5:00,6.3
27.10.2018 2:00,7.9
26.10.2018 23:00,9.3
26.10.2018 20:00,11.3
26.10.2018 17:00,13.7
26.10.2018 14:00,15.4
26.10.2018 11:00,9.4
26.10.2018 8:00,1.8
26.10.2018 5:00,2.7
26.10.2018 2:00,4.5
25.10.2018 23:00,5.7
25.10.2018 20:00,7.9
25.10.2018 17:00,9.7
25.10.2018 14:00,11.3
25.10.2018 11:00,3.2
25.10.2018 8:00,1.0
25.10.2018 5:00,0.4
25.10.2018 2:00,0.9
24.10.2018 23:00,2.9
24.10.2018 20:00,5.7
24.10.2018 17:00,8.1
24.10.2018 14:00,8.3
24.10.2018 11:00,4.6
24.10.2018 8:00,-2.5
24.10.2018 5:00,-2.4
24.10.2018 2:00,-2.2
23.10.2018 23:00,-2.0
23.10.2018 20:00,-0.6
23.10.2018 17:00,0.9
23.10.2018 14:00,1.9
23.10.2018 11:00,-0.1
23.10.2018 8:00,-3.4
23.10.2018 5:00,-2.8
23.10.2018 2:00,-1.9
22.10.2018 23:00,-1.5
22.10.2018 20:00,-0.2
22.10.2018 17:00,0.9
22.10.2018 14:00,1.9
22.10.2018 11:00,0.4
22.10.2018 8:00,-0.9
22.10.2018 5:00,0.4
22.10.2018 2:00,3.2
21.10.2018 23:00,3.0
21.10.2018 20:00,4.1
21.10.2018 17:00,7.6
21.10.2018 14:00,9.1
21.10.2018 11:00,9.0
21.10.2018 8:00,5.6
21.10.2018 5:00,5.8
21.10.2018 2:00,8.1
20.10.2018 23:00,7.1
20.10.2018 20:00,6.6
20.10.2018 17:00,6.2
20.10.2018 14:00,5.9
20.10.2018 11:00,3.6
20.10.2018 8:00,1.2
20.10.2018 5:00,0.8
20.10.2018 2:00,0.5
19.10.2018 23:00,-0.3
19.10.2018 20:00,-0.8
19.10.2018 17:00,-0.4
19.10.2018 14:00,-0.1
19.10.2018 11:00,-0.8
19.10.2018 8:00,-1.6
19.10.2018 5:00,-1.6
19.10.2018 2:00,-1.3
18.10.2018 23:00,0.1
18.10.2018 20:00,0.5
18.10.2018 17:00,1.0
18.10.2018 14:00,2.3
18.10.2018 11:00,0.8
18.10.2018 8:00,2.0
18.10.2018 5:00,2.4
18.10.2018 2:00,0.9
17.10.2018 23:00,-0.4
17.10.2018 20:00,-0.7
17.10.2018 17:00,-0.5
17.10.2018 14:00,-0.4
17.10.2018 11:00,0.1
17.10.2018 8:00,-3.5
17.10.2018 5:00,-2.9
17.10.2018 2:00,-3.3
16.10.2018 23:00,-0.5
16.10.2018 20:00,0.1
16.10.2018 17:00,-0.1
16.10.2018 14:00,-0.1
16.10.2018 11:00,0.1
16.10.2018 8:00,-0.1
16.10.2018 5:00,0.0
16.10.2018 2:00,0.4
15.10.2018 23:00,0.5
15.10.2018 20:00,0.5
15.10.2018 17:00,0.8
15.10.2018 14:00,1.1
15.10.2018 11:00,1.9
15.10.2018 8:00,-2.6
15.10.2018 5:00,-3.1
15.10.2018 2:00,-2.7
14.10.2018 23:00,-1.8
14.10.2018 20:00,-0.5
14.10.2018 17:00,0.1
14.10.2018 14:00,0.5
